source,target,distance_km
Anathode,Erattayar,52.332
Anathode,Moozhiyar,9.989
Anathode,Pamba,5.546
Anayirankal,Kundala,14.938
Anayirankal,Mattupetty,14.117
Anayirankal,Ponmudi,17.388
Banasura Sagar,Kakkayam,13.616
Banasura Sagar,Poringalkuthu,168.222
Banasura Sagar,Sholayar,173.08
Chenkulam,Kallarkutty,4.833
Chenkulam,Kundala,23.429
Chenkulam,Mattupetty,14.581
Chenkulam,Pambla,9.91
Chenkulam,Ponmudi,6.193
Erattayar,Idukki,14.695
Erattayar,Kallar,5.754
Erattayar,Moozhiyar,56.029
Erattayar,Pamba,47.04
Erattayar,Ponmudi,17.549
Idamalayar,Pambla,39.857
Idamalayar,Poringalkuthu,13.005
Idamalayar,Sholayar,11.103
Idukki,Kallar,19.823
Idukki,Kallarkutty,15.416
Idukki,Pambla,13.336
Kakkayam,Poringalkuthu,157.737
Kakkayam,Sholayar,163.12
Kallar,Ponmudi,18.555
Kallarkutty,Pambla,5.277
Kallarkutty,Ponmudi,6.417
Kundala,Mattupetty,9.186
Moozhiyar,Pamba,13.827
Pambla,Ponmudi,10.92
Pambla,Poringalkuthu,52.8
Pambla,Sholayar,46.464
Poringalkuthu,Sholayar,10.922
